Validation Result: FAILURE

Level,Path,Validation Type,Message
WARNING,"""/Data File Contributor/items/properties/Contributor Given Name""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Identifier Scheme Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Identifier Scheme""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Name""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Role""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Type""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Affiliation Identifier Scheme Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Affiliation Identifier Scheme""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Affiliation Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Affiliation""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Email""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Family Name""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Given Name""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Identifier Scheme Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Identifier Scheme""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Name""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Role""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Creator/items/properties/Creator Type""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Description/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Description/items/properties/Data File Description""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Description/items/properties/Description Language""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Data File Publication Date""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Data File Publication Date/properties/Data File Publication Date""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Data File Publication Date/properties/Publication Date Type""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Access Configuration""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Access Protocol""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Format""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Identifier Type""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Media Type""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Publisher Identifier Scheme Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Publisher Identifier Scheme""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Publisher Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Publisher""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
